,chq,faq
3457,   What would cause a urine sample to be loaded with tyrosine crystals in a 21-month-old with failure to thrive? Failure to Thrive ,   What would cause the urine to be loaded with tyrosine crystals in a 21-month-old with failure to thrive?
3458,   What would cause a urine sample to be loaded with tyrosine crystals in a 21-month-old with failure to thrive? Failure to Thrive ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
3459,"   What are the DSM IV (Diagnostic and Statistical Manual of Mental Disorders) criteria differences between borderline personality disorder and post-traumatic stress disorder? Personality Disorders Borderline Personality Disorder Stress Disorders, Traumatic Stress Disorders, Post-Traumatic ",   What are the DSM IV (Diagnostic and Statistical Manual of Mental Disorders) differences between borderline personality disorder and post-traumatic stress disorder?
3460,"   What are the DSM IV (Diagnostic and Statistical Manual of Mental Disorders) criteria differences between borderline personality disorder and post-traumatic stress disorder? Personality Disorders Borderline Personality Disorder Stress Disorders, Traumatic Stress Disorders, Post-Traumatic ","   Several ear infections, doesn't get over them completely.  Which antibiotic now?"
3461,"   When you do cytologic followup of CIN I (cervical intraepithelial neoplasia I), what should you do if the first, second, or third follow-up Papanicolaou smear shows low grade SIL (squamous intraepithelial lesion)?  Repeat colposcopy? Return when? Caliciviridae Infections Squamous Intraepithelial Lesions of the Cervix ","   When you follow up CIN I (cervical intraepithelial neoplasia I), what should you do if the Papanicolaou smear shows low grade SIL (squamous intraepithelial lesion)?"
3462,"   When you do cytologic followup of CIN I (cervical intraepithelial neoplasia I), what should you do if the first, second, or third follow-up Papanicolaou smear shows low grade SIL (squamous intraepithelial lesion)?  Repeat colposcopy? Return when? Caliciviridae Infections Squamous Intraepithelial Lesions of the Cervix ",   What antibiotic should I use for this diabetic patient's infected foot ulcer?
3463,"   How long does it take for a clinically unimportant coronary lesion to become clinically important; that is, how long before repeating a catheterization showing minimal disease if the patient has worse symptoms? Coronary Artery Disease ",   How long does it take for a clinically unimportant coronary lesion to become clinically important?
3464,"   How long does it take for a clinically unimportant coronary lesion to become clinically important; that is, how long before repeating a catheterization showing minimal disease if the patient has worse symptoms? Coronary Artery Disease ",   How do you use Redux?  What are the indications?
3465,   Is fenfluramine (Pondimin) effective in treating obesity when given with an antidepressant? Pediatric Obesity Obesity ,   Is fenfluramine effective in treating obesity when given with an antidepressant?
3466,   Is fenfluramine (Pondimin) effective in treating obesity when given with an antidepressant? Pediatric Obesity Obesity ,"   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
3467,"   What would cause a spontaneous pneumoperitoneum; that is, no perforated bowel, hysterectomy or exploratory laparotomy? ",   What would cause a spontaneous pneumoperitoneum?
3468,"   What would cause a spontaneous pneumoperitoneum; that is, no perforated bowel, hysterectomy or exploratory laparotomy? ",   Why did she get Coccidiomycosis?
3469,   Who should get carotid endarterectomy?  What are the indications? ,   Who should get carotid endarterectomy?
3470,   Who should get carotid endarterectomy?  What are the indications? ,   What is the cause and treatment of this old man's stomatitis?
3471,   What is Hytrin? ,   What is Hytrin?
3472,   What is Hytrin? ,   How should I treat polymenorrhea in a 14-year-old girl?
3473,   What would cause a low mean corpuscular volume (MCV) with a normal hemoglobin and hematocrit? ,   What would cause a low mean corpuscular volume with a normal hemoglobin and hematocrit?
3474,   What would cause a low mean corpuscular volume (MCV) with a normal hemoglobin and hematocrit? ,"   Should I charge her child for office visit? Not scheduled, just brought her in."
3475,"   What is a Hawkins II fracture of the talus? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   What is a Hawkins II fracture of the talus?
3476,"   What is a Hawkins II fracture of the talus? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   What are the causes of tinnitus?
3477,   Do any of Dr. X's studies challenge the Kansas City study which found an association between labor epidural anesthesia and cesarean section? ,   Do any of Dr. X's studies challenge the study which found an association between epidural anesthesia and cesarean section?
3478,   Do any of Dr. X's studies challenge the Kansas City study which found an association between labor epidural anesthesia and cesarean section? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
3479,   What was the reference to that article that showed how confounding bias can make one of the best hospitals appear to be the worst? Parkinson Disease ,   What was that article that showed how confounding can make the best hospitals appear to be the worst?
3480,   What are the indications for a 24-hour blood pressure monitor? ,   What are the indications for a 24-hour blood pressure monitor?
3481,   What are the indications for a 24-hour blood pressure monitor? ,   Young man with recurrent peptic ulcer disease; do vagotomy?  Will health maintenance organization pay?
3482,"   What is Carnett's sign?  (Questionably, the patient raises leg and if the pain hurts worse, the pain is coming from the abdominal wall rather than the viscera) Pain, Postoperative ",   What is Carnett's sign?
3483,"   What is Carnett's sign?  (Questionably, the patient raises leg and if the pain hurts worse, the pain is coming from the abdominal wall rather than the viscera) Pain, Postoperative ",   What are the strengths of Synthroid and what is appropriate for this patient?
3484,   Are either Entamoeba hartmanni or Blastocystis hominis pathogenic in a patient with diarrhea? Infection Communicable Diseases Blastocystis Infections Diarrhea ,   Are either Entamoeba hartmanni or Blastocystis hominis pathogenic?
3485,   Are either Entamoeba hartmanni or Blastocystis hominis pathogenic in a patient with diarrhea? Infection Communicable Diseases Blastocystis Infections Diarrhea ,   What is the dose of Sporanox?
3486,   Does the patient need to be fasting when you check the HDL (high-density-lipoprotein) and LDL (low-density-lipoprotein) cholesterol? ,   Does the patient need to be fasting when you check the high-density-lipoprotein and low-density-lipoprotein cholesterol?
3487,   Does the patient need to be fasting when you check the HDL (high-density-lipoprotein) and LDL (low-density-lipoprotein) cholesterol? ,   What is in Ortho Novum 1/35?
3488,   Is it all right for children to take griseofulvin? ,   Is it all right for children to take griseofulvin?
3489,   Is it all right for children to take griseofulvin? ,   Let's give these immunizations.  That's right isn't it?
3490,   How often should you check lab work on a patient taking griseofulvin? ,   How often should you check lab work on a patient taking griseofulvin?
3491,   How often should you check lab work on a patient taking griseofulvin? ,"   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?"
3492,   Is it all right to switch suddenly from one tricyclic antidepressant to an equal dose of another antidepressant? ,   Is it all right to switch suddenly from one tricyclic antidepressant to an equal dose of another?
3493,   Is it all right to switch suddenly from one tricyclic antidepressant to an equal dose of another antidepressant? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
3494,   Is Cognex (Tacrine) helpful for Alzheimer's disease? Alzheimer Disease Familial Alzheimer Disease ,   Is tacrine helpful for Alzheimer's disease?
3495,   Is Cognex (Tacrine) helpful for Alzheimer's disease? Alzheimer Disease Familial Alzheimer Disease ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
3496,   What is Resaid? ,   What is Resaid?
3497,   What is Resaid? ,   How should I treat polymenorrhea in a 14-year-old girl?
3498,   What is the best treatment for gout in someone with a normal uric acid level and normal 24-hour urine uric acid? Gout ,   What is the best treatment for gout in someone with a normal uric acid level and normal 24-hour urine uric acid?
3499,   What is the best treatment for gout in someone with a normal uric acid level and normal 24-hour urine uric acid? Gout ,"   Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?"
3500,   Did X's study on malpractice and gender control for age? ,   Did Dr. X's study on malpractice and gender control for age?
